Token,Oracle Providers
AERO,"Chainlink, Pyth"
AGEUR,Pyth
BSDETH,RedStone Classic
CBETH,"Chainlink, Chronicle, Pyth"
DAI,"API3, Chainlink, Chronicle, Pyth"
DEGEN,"API3, Chainlink"
ETH,"API3, Chainlink, Chronicle, Pyth"
EUSD,RedStone Classic
EZETH,"API3, Chainlink, Pyth"
HYUSD,Chronicle
LUSD,Pyth
MAVIA,Chainlink
PRIME,Pyth
RETH,"Chainlink, Chronicle, Pyth"
SFRXETH,"Chainlink, Pyth"
TBTC,"Chainlink, Pyth"
USD+,"Chainlink, RedStone Classic"
USDC,"API3, Chainlink, Chronicle, Pyth"
WEETH,"Chainlink, Pyth"
WSTETH,"API3, Chainlink, Chronicle, Pyth"
ZRO,"Chainlink, Pyth"
